n	Cond(V_n)
2	1
3	2.309401076758503
5	5.059644256269407
6	2.309401076758503
7	7.855844048495725
10	5.059644256269407
11	13.48399724926484
13	16.304789291682177
14	7.855844048495725
15	12.393546707863734
17	21.951818898241132
19	24.77689925802067
21	19.595917942265423
22	13.48399724926484
23	30.428819291557485
26	16.304789291682177
29	38.90926669166047
30	12.393546707863734
31	41.73650061841514
33	33.393884397468874
34	21.951818898241132
35	48
37	50.218979937329934
38	24.77689925802067
39	40.67129019534352
41	55.874423661566254
42	19.595917942265423
43	58.702244321423464
46	30.428819291557485
47	64.3580410423477
51	54.51245585310989
53	72.84203638113739
55	83.55727485873496
57	61.80444542008455
58	38.90926669166047
59	81.32629403639955
61	84.1544247981932
62	41.73650061841514
65	100.33298406958546
66	33.393884397468874
67	92.6389235108749
69	75.65597191865636
70	48
71	98.29532964991732
73	101.12355117745682
74	50.218979937329934
77	142.11756611131008
78	40.67129019534352
79	109.60827835316229
82	55.874423661566254
83	115.26480774119418
85	135.32009980695665
86	58.702244321423464
87	96.80885301969292
89	123.74965667867482
91	170.11541008166412
93	104.10912389132547
94	64.3580410423477
95	152.10854849848442
97	135.06287195763053
101	140.71950894605837
102	54.51245585310989
103	143.54783377858502
105	159.5422022090528
106	72.84203638113739
107	149.20449493366885
109	152.03283083392267
110	83.55727485873496
111	125.26814482584193
113	157.68951233637875
114	61.80444542008455
115	187.84489438849832
118	81.32629403639955
119	231.49989563857747
122	84.1544247981932
123	139.12619293639716
127	177.48798340160528
129	146.42912405697516
130	100.33298406958546
131	183.14470981391852
133	261.5442859896476
134	92.6389235108749
137	191.62981344628986
138	75.65597191865636
139	194.4581847377754
141	160.28768462976697
142	98.29532964991732
143	344.7102766457287
145	239.672420118622
146	101.12355117745682
149	208.60006370368444
151	211.4284435807228
154	142.11756611131008
155	258.63163491855585
157	219.91359044212453
158	109.60827835316229
159	181.45020281231137
161	322.3269433123659
163	228.39874721648835
165	317.07756435639186
166	115.26480774119418
167	234.05552337843278
170	135.32009980695665
173	242.54069439849954
174	96.80885301969292
177	202.61343338937453
178	123.74965667867482
179	251.02587282353116
181	253.85426715002495
182	170.11541008166412
183	209.91801678391448
185	310.474440781167
186	104.10912389132547
187	465.0800632586197
190	152.10854849848442
191	267.99624909463904
193	270.8246473962547
194	135.06287195763053
195	353.22862502699513
197	276.48144575670125
199	279.30984578018143
201	231.08207497150082
202	140.71950894605837
203	413.8725440985675
205	346.241139712294
206	143.54783377858502
209	522.9361346827525
210	159.5422022090528
211	296.28025671874764
213	244.94130752377274
214	149.20449493366885
215	363.0420310089036
217	441.9229033831153
218	152.03283083392267
219	252.2464548266293
221	595.7868366715827
222	125.26814482584193
223	313.2506840078568
226	157.68951233637875
227	318.9074962891705
229	321.7359029800304
230	187.84489438849832
231	532.2239544236407
233	327.39271741489455
235	398.0890523702219
237	273.41108290112265
238	231.49989563857747
239	335.87794156776533
241	338.7063502523164
246	139.12619293639716
247	671.6181679814454
249	287.2703832495955
251	352.84839808602294
253	648.7446070815473
254	177.48798340160528
255	474.48438888346755
257	361.33363006769633
258	146.42912405697516
259	532.8217881384525
262	183.14470981391852
263	369.8188643044555
265	450.6616351920388
266	261.5442859896476
267	308.4352195262317
269	378.3041006453086
271	381.1325132023326
273	691.094497442719
274	191.62981344628986
277	389.61775213635144
278	194.4581847377754
281	395.2745790998484
282	160.28768462976697
283	398.10299287101844
285	585.0240480887135
286	344.7102766457287
287	590.9420813870062
290	239.672420118622
291	336.90599502611417
293	412.24506446294953
295	502.5103624869637
298	208.60006370368444
299	828.3945548236894
301	624.4077379852159
302	211.4284435807228
303	350.765311327051
305	521.4858972049068
307	432.0439717035085
309	358.0712084086936
310	258.63163491855585
311	437.7008037108589
313	440.5292199278314
314	219.91359044212453
317	446.1860527749066
318	181.45020281231137
319	824.1982900471309
321	371.93051975668754
322	322.3269433123659
323	1011.4650747916212
326	228.39874721648835
327	379.2365096812665
329	682.5353058772835
330	317.07756435639186
331	465.9849718152979
334	234.05552337843278
335	573.337128299369
337	474.47022463509967
339	393.0958134908979
341	883.873108287752
345	674.2950457297252
346	242.54069439849954
347	488.61231486354416
349	491.44073322155646
353	497.09757023574116
354	202.61343338937453
355	609.1138795905566
357	899.2976531202353
358	251.02587282353116
359	505.5828264774916
362	253.85426715002495
365	625.9140297219258
366	209.91801678391448
367	516.8965027453839
370	310.474440781167
371	773.4550203234909
373	525.381760854019
374	465.0800632586197
377	1062.24341947979
379	533.8670196996206
381	442.7328161054847
382	267.99624909463904
383	539.5238593223361
385	1577.4409656148785
386	270.8246473962547
389	548.0091193206658
390	353.22862502699513
391	1242.022803535136
393	456.5920891538339
394	276.48144575670125
395	677.7647850083895
397	559.3228003239423
398	279.30984578018143
399	978.2505790893874
401	564.979641237159
402	231.08207497150082
403	1139.2671014893656
406	413.8725440985675
407	1067.097374140151
409	576.2933238464805
410	346.241139712294
411	477.75761703253187
413	863.0204293649199
415	713.5436360040833
417	485.06393556183275
418	522.9361346827525
419	590.4354284989429
421	593.2638496060637
422	296.28025671874764
426	244.94130752377274
427	893.10237381674
429	1129.6289383959402
430	363.0420310089036
431	607.4059559797128
433	610.2343774166302
434	441.9229033831153
435	780.4055532774014
437	1466.3592049964439
438	252.2464548266293
439	618.7196420384529
442	595.7868366715827
443	624.3764853718687
445	765.3948323827398
446	313.2506840078568
447	520.0887895285656
449	632.8617507368075
451	1185.8739888860998
453	527.395198465286
454	318.9074962891705
455	2095.845510622289
457	644.1754385442155
458	321.7359029800304
461	649.8322827173217
462	532.2239544236407
463	652.6607048691882
465	839.3914846578616
466	327.39271741489455
467	658.3175493007495
469	984.0293302612981
470	398.0890523702219
471	548.5608734198364
473	1242.5643538109093
474	273.41108290112265
478	335.87794156776533
479	675.2880835796192
481	1369.791146045186
482	338.7063502523164
483	1196.4269787696826
485	836.2271678728573
487	686.6017738785881
489	569.7265731016586
491	692.2586192505516
493	1587.1928809628998
494	671.6181679814454
497	1045.5539673261965
498	287.2703832495955
499	703.5723104215969
501	583.5857771411476
502	352.84839808602294
503	709.2291562138832
505	872.0069034153115
506	648.7446070815473
509	717.7144251516245
510	474.48438888346755
511	1073.5982477871617
514	361.33363006769633
515	888.8063512920502
517	1368.5339259159705
518	532.8217881384525
519	604.7514879973984
521	734.6849638867183
523	737.5133871164023
526	369.8188643044555
527	1701.2374110196236
530	450.6616351920388
533	1529.5248130861278
534	308.4352195262317
535	923.8592764143369
537	625.9172189600546
538	378.3041006453086
541	762.9691974799129
542	381.1325132023326
543	633.2237958973176
545	940.6579934016712
546	691.094497442719
547	771.4544680949699
551	1880.1642435109577
553	1164.5286173136733
554	389.61775213635144
555	1107.5533883782343
557	785.5965863019873
559	1604.3024799666648
561	1772.6976733211495
562	395.2745790998484
563	794.0818575232671
565	976.4388393953028
566	398.10299287101844
569	802.5671289587317
570	585.0240480887135
571	805.3955528169826
573	668.2487336183646
574	590.9420813870062
577	813.8808245276426
579	675.555361633763
581	1222.6531011910038
582	336.90599502611417
583	1547.0128356127498
586	412.24506446294953
587	828.0229444845385
589	2011.4085478464453
590	502.5103624869637
591	689.4145140990455
593	836.5082167123757
595	3548.730177912975
597	696.7211651080709
598	828.3945548236894
599	844.9934891234973
601	847.8219133003186
602	624.4077379852159
606	350.765311327051
607	856.307185947372
609	1645.1558987021513
610	521.4858972049068
611	1760.0872467587924
613	864.792458765314
614	432.0439717035085
615	1309.32266980242
617	870.4493074030842
618	358.0712084086936
619	873.277731749174
622	437.7008037108589
623	1314.2668433288254
626	440.5292199278314
627	2003.7247612035658
629	2054.7107858174422
631	890.248278195711
633	739.0528074046546
634	446.1860527749066
635	1099.1251496022592
638	824.1982900471309
641	904.3904007008672
642	371.93051975668754
643	907.2188252508763
645	1268.423933241014
646	1011.4650747916212
647	912.875674398661
649	1730.2913530414064
651	1680.3949502840373
653	921.3609482375585
654	379.2365096812665
655	1134.9062576884744
658	682.5353058772835
659	929.8462222137048
661	932.6746469022739
662	465.9849718152979
663	1947.6595909842513
665	4284.383706832106
667	2497.9372023464816
669	781.384490486658
670	573.337128299369
671	1791.1855717954093
673	949.6451953378335
